Jugador,Equipo,Posicion,Puntos,Valor,Valor_Anterior,Estado,Fecha
Lucas Noubi,Deportivo,Desc,28,13833220,13610269,Disponible,2026-09-07
Lucas Torró,Osasuna,Desc,13,1807866,1841850,Disponible,2026-09-07
Lucien Agoume,Sevilla,Desc,53,7152735,7172568,Disponible,2026-09-07
Luis Rioja,Valencia,Desc,9,6995720,7198513,Duda,2026-09-07
Luiz Junior,Villarreal,Desc,8,30940117,31451075,Disponible,2026-09-07
Luken Beitia,Real Sociedad,Desc,-6,458274,458355,Disponible,2026-09-07
Manel Usedo,Levante,Desc,0,562724,567157,Disponible,2026-09-07
Manu Bueno,Sevilla,Desc,5,570427,575181,Disponible,2026-09-07
Manu González,Betis,Desc,0,581040,581691,Disponible,2026-09-07
Manu Hernando,Racing,Desc,22,2778581,2789692,Disponible,2026-09-07
Manu Sánchez,Levante,Desc,54,4867528,4933060,Disponible,2026-09-07
Manuel Ángel Castillo,Sevilla,Desc,0,900000,900000,Disponible,2026-09-07
Marc Aguado,Elche,Desc,26,4981557,5079120,Disponible,2026-09-07
Marc Bartra,Betis,Desc,62,34275419,33852904,Disponible,2026-09-07
Marc Bernal,Barcelona,Desc,46,16612314,15664996,Disponible,2026-09-07
Marc Casadó,Deportivo,Desc,2,2972238,2657566,Disponible,2026-09-07
Marc Cucurella,Real Madrid,Desc,29,64796483,66028538,Disponible,2026-09-07
Marc Roca,Betis,Desc,37,9413369,8892057,Disponible,2026-09-07
Marc Santos,Levante,Desc,3,609923,616323,Disponible,2026-09-07
Marco Román,Rayo,Desc,0,562724,567157,Disponible,2026-09-07
Marcos Navarro,Valencia,Desc,0,501311,501909,Disponible,2026-09-07
Mario Martín,Getafe,Desc,5,2969291,3050502,Disponible,2026-09-07
Mario Rivas,Real Madrid,Desc,0,700000,700000,Disponible,2026-09-07
Marko Dmitrovic,Espanyol,Desc,49,39796701,40086839,Disponible,2026-09-07
Maroan Sannadi,Athletic,Desc,1,420065,418554,Disponible,2026-09-07
Martim Neto,Elche,Desc,9,1263892,1297540,Disponible,2026-09-07
Martín Satriano,Getafe,Desc,17,20323544,20827731,Disponible,2026-09-07
Mathew Ryan,Levante,Desc,69,21856825,21107826,Disponible,2026-09-07
